ID,Model,Rater,C3_1,C3_2,C3_3
31,GPT35,R7,5,5,5
31,GPT35,R9,5,5,5
31,GPT35,R8,5,5,5
31,GPT4,R7,5,5,5
31,GPT4,R9,5,5,5
31,GPT4,R8,5,4,3
31,Llama,R7,5,5,5
31,Llama,R9,5,4,2
31,Llama,R8,5,5,5
32,GPT35,R7,5,5,5
32,GPT35,R9,5,5,5
32,GPT35,R8,5,5,5
32,GPT4,R7,5,5,5
32,GPT4,R9,5,5,5
32,GPT4,R8,5,5,5
32,Llama,R7,5,5,5
32,Llama,R9,5,5,5
32,Llama,R8,5,5,5
33,GPT35,R7,0,0,0
33,GPT35,R9,0,0,0
33,GPT35,R8,0,0,0
33,GPT4,R7,0,0,0
33,GPT4,R9,0,0,0
33,GPT4,R8,0,0,0
33,Llama,R7,1,1,1
33,Llama,R9,1,1,1
33,Llama,R8,1,1,1
34,GPT35,R7,5,5,5
34,GPT35,R9,5,5,5
34,GPT35,R8,5,5,5
34,GPT4,R7,5,5,5
34,GPT4,R9,5,5,5
34,GPT4,R8,5,5,5
34,Llama,R7,5,5,5
34,Llama,R9,5,2,2
34,Llama,R8,5,5,5
35,GPT35,R7,0,0,0
35,GPT35,R9,0,0,0
35,GPT35,R8,0,0,0
35,GPT4,R7,3,3,3
35,GPT4,R9,5,5,5
35,GPT4,R8,5,5,5
35,Llama,R7,4,3,3
35,Llama,R9,4,5,5
35,Llama,R8,5,5,5
36,GPT35,R7,5,5,4
36,GPT35,R9,5,4,2
36,GPT35,R8,5,5,4
36,GPT4,R7,5,5,4
36,GPT4,R9,5,2,2
36,GPT4,R8,5,5,4
36,Llama,R7,5,5,4
36,Llama,R9,5,4,4
36,Llama,R8,5,5,4
37,GPT35,R7,0,0,0
37,GPT35,R9,0,0,0
37,GPT35,R8,0,0,0
37,GPT4,R7,0,0,0
37,GPT4,R9,0,0,0
37,GPT4,R8,4,4,4
37,Llama,R7,4,4,4
37,Llama,R9,4,5,5
37,Llama,R8,0,0,0
38,GPT35,R7,3,3,3
38,GPT35,R9,2,2,3
38,GPT35,R8,3,3,3
38,GPT4,R7,0,0,0
38,GPT4,R9,0,0,0
38,GPT4,R8,0,0,0
38,Llama,R7,0,0,0
38,Llama,R9,0,0,0
38,Llama,R8,0,0,0
39,GPT35,R7,5,5,5
39,GPT35,R9,5,5,5
39,GPT35,R8,5,5,5
39,GPT4,R7,5,5,5
39,GPT4,R9,5,5,5
39,GPT4,R8,5,5,5
39,Llama,R7,5,5,4
39,Llama,R9,5,3,5
39,Llama,R8,5,4,3
40,GPT35,R7,0,0,0
40,GPT35,R9,0,0,0
40,GPT35,R8,0,0,0
40,GPT4,R7,3,3,3
40,GPT4,R9,1,1,1
40,GPT4,R8,3,2,1
40,Llama,R7,5,5,4
40,Llama,R9,5,5,5
40,Llama,R8,5,5,5
41,GPT35,R7,2,3,4
41,GPT35,R9,3,4,4
41,GPT35,R8,4,4,3
41,GPT4,R7,0,0,0
41,GPT4,R9,0,0,0
41,GPT4,R8,0,0,0
41,Llama,R7,2,3,4
41,Llama,R9,2,3,2
41,Llama,R8,4,4,3
42,GPT35,R7,4,4,4
42,GPT35,R9,3,4,4
42,GPT35,R8,4,4,4
42,GPT4,R7,4,4,4
42,GPT4,R9,3,4,3
42,GPT4,R8,4,4,4
42,Llama,R7,4,4,4
42,Llama,R9,3,4,2
42,Llama,R8,4,4,4
43,GPT35,R7,0,0,0
43,GPT35,R9,0,0,0
43,GPT35,R8,0,0,0
43,GPT4,R7,0,0,0
43,GPT4,R9,0,0,0
43,GPT4,R8,0,0,0
43,Llama,R7,5,5,5
43,Llama,R9,5,5,5
43,Llama,R8,5,5,5
44,GPT35,R7,4,4,4
44,GPT35,R9,2,3,3
44,GPT35,R8,4,4,4
44,GPT4,R7,4,4,4
44,GPT4,R9,2,3,3
44,GPT4,R8,4,4,4
44,Llama,R7,4,4,4
44,Llama,R9,2,3,3
44,Llama,R8,4,4,4
45,GPT35,R7,0,0,0
45,GPT35,R9,0,0,0
45,GPT35,R8,0,0,0
45,GPT4,R7,4,4,4
45,GPT4,R9,2,3,3
45,GPT4,R8,4,4,4
45,Llama,R7,5,5,5
45,Llama,R9,4,4,3
45,Llama,R8,5,5,5
46,GPT35,R7,4,4,3
46,GPT35,R9,1,1,1
46,GPT35,R8,4,3,4
46,GPT4,R7,4,3,4
46,GPT4,R9,1,3,3
46,GPT4,R8,4,0,0
46,Llama,R7,0,0,0
46,Llama,R9,0,0,0
46,Llama,R8,0,0,0
47,GPT35,R7,0,0,0
47,GPT35,R9,0,0,0
47,GPT35,R8,0,0,0
47,GPT4,R7,0,0,0
47,GPT4,R9,0,0,0
47,GPT4,R8,0,0,0
47,Llama,R7,4,4,4
47,Llama,R9,2,3,3
47,Llama,R8,4,4,3
48,GPT35,R7,5,4,3
48,GPT35,R9,5,3,3
48,GPT35,R8,5,4,3
48,GPT4,R7,0,0,0
48,GPT4,R9,0,0,0
48,GPT4,R8,0,0,0
48,Llama,R7,5,4,3
48,Llama,R9,5,3,3
48,Llama,R8,5,4,2
49,GPT35,R7,0,0,0
49,GPT35,R9,0,0,0
49,GPT35,R8,0,0,0
49,GPT4,R7,5,5,5
49,GPT4,R9,2,3,3
49,GPT4,R8,0,0,0
49,Llama,R7,5,5,5
49,Llama,R9,5,3,3
49,Llama,R8,5,4,4
50,GPT35,R7,4,4,4
50,GPT35,R9,1,1,1
50,GPT35,R8,4,4,4
50,GPT4,R7,0,0,0
50,GPT4,R9,0,0,0
50,GPT4,R8,0,0,0
50,Llama,R7,0,0,0
50,Llama,R9,0,0,0
50,Llama,R8,0,0,0
51,GPT35,R7,0,0,0
51,GPT35,R9,0,0,0
51,GPT35,R8,0,0,0
51,GPT4,R7,0,0,0
51,GPT4,R9,0,0,0
51,GPT4,R8,0,0,0
51,Llama,R7,3,3,3
51,Llama,R9,1,1,1
51,Llama,R8,4,4,4
52,GPT35,R7,3,3,3
52,GPT35,R9,4,3,3
52,GPT35,R8,4,4,3
52,GPT4,R7,0,0,0
52,GPT4,R9,0,0,0
52,GPT4,R8,0,0,0
52,Llama,R7,3,3,3
52,Llama,R9,1,1,1
52,Llama,R8,3,3,3
53,GPT35,R7,0,0,0
53,GPT35,R9,0,0,0
53,GPT35,R8,0,0,0
53,GPT4,R7,2,2,2
53,GPT4,R9,5,3,3
53,GPT4,R8,5,3,3
53,Llama,R7,0,0,0
53,Llama,R9,0,0,0
53,Llama,R8,0,0,0
54,GPT35,R7,0,0,0
54,GPT35,R9,0,0,0
54,GPT35,R8,0,0,0
54,GPT4,R7,4,4,4
54,GPT4,R9,5,4,4
54,GPT4,R8,5,4,4
54,Llama,R7,5,5,5
54,Llama,R9,0,0,0
54,Llama,R8,5,4,3
55,GPT35,R7,0,0,0
55,GPT35,R9,0,0,0
55,GPT35,R8,0,0,0
55,GPT4,R7,5,5,5
55,GPT4,R9,5,5,5
55,GPT4,R8,5,5,5
55,Llama,R7,5,5,5
55,Llama,R9,5,2,2
55,Llama,R8,5,2,3
56,GPT35,R7,0,0,0
56,GPT35,R9,0,0,0
56,GPT35,R8,0,0,0
56,GPT4,R7,0,0,0
56,GPT4,R9,0,0,0
56,GPT4,R8,0,0,0
56,Llama,R7,3,3,3
56,Llama,R9,1,1,1
56,Llama,R8,5,5,5
57,GPT35,R7,3,3,2
57,GPT35,R9,1,1,1
57,GPT35,R8,1,1,1
57,GPT4,R7,0,0,0
57,GPT4,R9,0,0,0
57,GPT4,R8,0,0,0
57,Llama,R7,4,4,4
57,Llama,R9,2,3,3
57,Llama,R8,2,2,1
58,GPT35,R7,0,0,0
58,GPT35,R9,0,0,0
58,GPT35,R8,0,0,0
58,GPT4,R7,0,0,0
58,GPT4,R9,0,0,0
58,GPT4,R8,0,0,0
58,Llama,R7,0,0,0
58,Llama,R9,0,0,0
58,Llama,R8,0,0,0
59,GPT35,R7,5,5,5
59,GPT35,R9,5,4,4
59,GPT35,R8,5,4,3
59,GPT4,R7,5,5,5
59,GPT4,R9,5,5,5
59,GPT4,R8,5,5,5
59,Llama,R7,5,5,5
59,Llama,R9,5,5,5
59,Llama,R8,5,5,5
60,GPT35,R7,5,4,4
60,GPT35,R9,5,4,5
60,GPT35,R8,5,5,4
60,GPT4,R7,5,4,4
60,GPT4,R9,5,3,3
60,GPT4,R8,5,4,3
60,Llama,R7,5,4,4
60,Llama,R9,5,2,2
60,Llama,R8,5,3,2
61,GPT35,R7,5,4,4
61,GPT35,R9,5,4,4
61,GPT35,R8,5,4,3
61,GPT4,R7,4,4,4
61,GPT4,R9,5,4,3
61,GPT4,R8,5,3,2
61,Llama,R7,0,0,0
61,Llama,R9,0,0,0
61,Llama,R8,0,0,0
62,GPT35,R7,0,0,0
62,GPT35,R9,0,0,0
62,GPT35,R8,0,0,0
62,GPT4,R7,0,0,0
62,GPT4,R9,0,0,0
62,GPT4,R8,0,0,0
62,Llama,R7,0,0,0
62,Llama,R9,0,0,0
62,Llama,R8,0,0,0
63,GPT35,R7,0,0,0
63,GPT35,R9,0,0,0
63,GPT35,R8,0,0,0
63,GPT4,R7,4,4,4
63,GPT4,R9,5,5,5
63,GPT4,R8,5,5,5
63,Llama,R7,4,4,4
63,Llama,R9,5,3,2
63,Llama,R8,5,4,3
64,GPT35,R7,0,0,0
64,GPT35,R9,0,0,0
64,GPT35,R8,0,0,0
64,GPT4,R7,0,0,0
64,GPT4,R9,0,0,0
64,GPT4,R8,0,0,0
64,Llama,R7,4,2,3
64,Llama,R9,1,3,3
64,Llama,R8,5,5,5
65,GPT35,R7,0,0,0
65,GPT35,R9,0,0,0
65,GPT35,R8,0,0,0
65,GPT4,R7,0,0,0
65,GPT4,R9,0,0,0
65,GPT4,R8,0,0,0
65,Llama,R7,0,0,0
65,Llama,R9,0,0,0
65,Llama,R8,0,0,0
66,GPT35,R7,0,0,0
66,GPT35,R9,0,0,0
66,GPT35,R8,0,0,0
66,GPT4,R7,4,4,5
66,GPT4,R9,5,5,5
66,GPT4,R8,5,5,5
66,Llama,R7,4,4,5
66,Llama,R9,5,5,5
66,Llama,R8,5,5,5
67,GPT35,R7,3,4,4
67,GPT35,R9,5,5,5
67,GPT35,R8,5,3,3
67,GPT4,R7,0,0,0
67,GPT4,R9,0,0,0
67,GPT4,R8,0,0,0
67,Llama,R7,4,4,3
67,Llama,R9,5,4,4
67,Llama,R8,5,4,3
68,GPT35,R7,0,0,0
68,GPT35,R9,0,0,0
68,GPT35,R8,0,0,0
68,GPT4,R7,0,0,0
68,GPT4,R9,0,0,0
68,GPT4,R8,0,0,0
68,Llama,R7,0,0,0
68,Llama,R9,0,0,0
68,Llama,R8,0,0,0
69,GPT35,R7,3,2,3
69,GPT35,R9,2,3,3
69,GPT35,R8,5,5,5
69,GPT4,R7,0,0,0
69,GPT4,R9,0,0,0
69,GPT4,R8,0,0,0
69,Llama,R7,0,0,0
69,Llama,R9,0,0,0
69,Llama,R8,0,0,0
70,GPT35,R7,0,0,0
70,GPT35,R9,0,0,0
70,GPT35,R8,0,0,0
70,GPT4,R7,0,0,0
70,GPT4,R9,0,0,0
70,GPT4,R8,0,0,0
70,Llama,R7,0,0,0
70,Llama,R9,0,0,0
70,Llama,R8,0,0,0
71,GPT35,R7,0,0,0
71,GPT35,R9,0,0,0
71,GPT35,R8,0,0,0
71,GPT4,R9,0,0,0
71,GPT4,R7,0,0,0
71,GPT4,R8,0,0,0
71,Llama,R7,0,0,0
71,Llama,R9,0,0,0
71,Llama,R8,0,0,0
72,GPT35,R7,0,0,0
72,GPT35,R9,0,0,0
72,GPT35,R8,0,0,0
72,GPT4,R7,0,0,0
72,GPT4,R9,0,0,0
72,GPT4,R8,0,0,0
72,Llama,R7,0,0,0
72,Llama,R9,0,0,0
72,Llama,R8,0,0,0
73,GPT35,R7,0,0,0
73,GPT35,R9,0,0,0
73,GPT35,R8,0,0,0
73,GPT4,R7,0,0,0
73,GPT4,R9,0,0,0
73,GPT4,R8,0,0,0
73,Llama,R7,0,0,0
73,Llama,R9,0,0,0
73,Llama,R8,0,0,0
74,GPT35,R7,1,1,1
74,GPT35,R9,1,1,1
74,GPT35,R8,3,2,1
74,GPT4,R7,0,0,0
74,GPT4,R9,0,0,0
74,GPT4,R8,0,0,0
74,Llama,R7,0,0,0
74,Llama,R9,0,0,0
74,Llama,R8,0,0,0
75,GPT35,R7,0,0,0
75,GPT35,R9,0,0,0
75,GPT35,R8,0,0,0
75,GPT4,R7,0,0,0
75,GPT4,R9,0,0,0
75,GPT4,R8,0,0,0
75,Llama,R7,2,2,2
75,Llama,R9,1,3,3
75,Llama,R8,5,5,5
76,GPT35,R7,2,2,2
76,GPT35,R9,1,2,3
76,GPT35,R8,5,5,5
76,GPT4,R7,0,0,0
76,GPT4,R9,0,0,0
76,GPT4,R8,0,0,0
76,Llama,R7,0,0,0
76,Llama,R9,0,0,0
76,Llama,R8,0,0,0
77,GPT35,R7,4,5,5
77,GPT35,R9,5,5,5
77,GPT35,R8,5,5,5
77,GPT4,R7,3,3,4
77,GPT4,R9,4,4,4
77,GPT4,R8,4,4,3
77,Llama,R7,5,5,5
77,Llama,R9,5,2,2
77,Llama,R8,5,5,4
78,GPT35,R7,5,5,5
78,GPT35,R9,5,5,5
78,GPT35,R8,5,5,4
78,GPT4,R7,0,0,0
78,GPT4,R9,0,0,0
78,GPT4,R8,0,0,0
78,Llama,R7,4,4,4
78,Llama,R9,5,4,2
78,Llama,R8,5,4,3
79,GPT35,R7,1,2,2
79,GPT35,R9,4,1,1
79,GPT35,R8,4,3,3
79,GPT4,R7,0,0,0
79,GPT4,R9,0,0,0
79,GPT4,R8,0,0,0
79,Llama,R7,5,5,5
79,Llama,R9,5,2,2
79,Llama,R8,5,4,4
80,GPT35,R7,4,4,4
80,GPT35,R9,5,5,5
80,GPT35,R8,5,5,5
80,GPT4,R7,4,4,4
80,GPT4,R9,5,5,5
80,GPT4,R8,5,5,5
80,Llama,R7,0,0,0
80,Llama,R9,0,0,0
80,Llama,R8,0,0,0
81,GPT35,R7,4,4,4
81,GPT35,R9,5,5,5
81,GPT35,R8,5,4,4
81,GPT4,R7,0,0,0
81,GPT4,R9,0,0,0
81,GPT4,R8,0,0,0
81,Llama,R7,4,4,4
81,Llama,R9,5,5,5
81,Llama,R8,5,5,4
82,GPT35,R7,5,5,5
82,GPT35,R9,5,5,5
82,GPT35,R8,5,4,4
82,GPT4,R7,5,5,5
82,GPT4,R9,5,5,5
82,GPT4,R8,5,4,4
82,Llama,R7,5,5,5
82,Llama,R9,5,5,2
82,Llama,R8,5,3,3
83,GPT35,R7,5,5,5
83,GPT35,R9,2,4,4
83,GPT35,R8,5,4,3
83,GPT4,R7,5,5,5
83,GPT4,R9,2,4,4
83,GPT4,R8,5,4,3
83,Llama,R7,5,5,5
83,Llama,R9,2,3,3
83,Llama,R8,5,3,3
84,GPT35,R7,4,4,4
84,GPT35,R9,5,5,5
84,GPT35,R8,5,4,3
84,GPT4,R7,0,0,0
84,GPT4,R9,0,0,0
84,GPT4,R8,0,0,0
84,Llama,R7,0,0,0
84,Llama,R9,0,0,0
84,Llama,R8,0,0,0
85,GPT35,R7,2,3,3
85,GPT35,R9,5,5,5
85,GPT35,R8,5,5,5
85,GPT4,R7,0,0,0
85,GPT4,R9,0,0,0
85,GPT4,R8,0,0,0
85,Llama,R7,5,5,5
85,Llama,R9,5,5,3
85,Llama,R8,5,4,3
86,GPT35,R7,5,5,5
86,GPT35,R9,5,5,5
86,GPT35,R8,5,4,4
86,GPT4,R7,5,5,5
86,GPT4,R9,5,5,5
86,GPT4,R8,5,4,4
86,Llama,R7,0,0,0
86,Llama,R9,0,0,0
86,Llama,R8,0,0,0
87,GPT35,R7,4,5,5
87,GPT35,R9,1,3,4
87,GPT35,R8,5,4,4
87,GPT4,R7,3,2,1
87,GPT4,R9,1,1,1
87,GPT4,R8,5,2,1
87,Llama,R7,0,0,0
87,Llama,R9,0,0,0
87,Llama,R8,0,0,0
88,GPT35,R7,0,0,0
88,GPT35,R9,0,0,0
88,GPT35,R8,0,0,0
88,GPT4,R7,3,3,2
88,GPT4,R9,5,3,3
88,GPT4,R8,5,4,3
88,Llama,R7,5,5,5
88,Llama,R9,5,4,3
88,Llama,R8,5,4,3
89,GPT35,R7,0,0,0
89,GPT35,R9,0,0,0
89,GPT35,R8,0,0,0
89,GPT4,R7,5,5,5
89,GPT4,R9,3,2,2
89,GPT4,R8,5,4,3
89,Llama,R7,5,5,5
89,Llama,R9,2,2,2
89,Llama,R8,5,3,1
90,GPT35,R7,5,5,5
90,GPT35,R9,2,5,5
90,GPT35,R8,5,4,4
90,GPT4,R7,0,0,0
90,GPT4,R9,0,0,0
90,GPT4,R8,0,0,0
90,Llama,R7,0,0,0
90,Llama,R9,0,0,0
90,Llama,R8,0,0,0
91,GPT35,R7,5,5,5
91,GPT35,R9,5,5,5
91,GPT35,R8,5,5,5
91,GPT4,R7,5,5,5
91,GPT4,R9,5,4,4
91,GPT4,R8,5,4,4
91,Llama,R7,0,0,0
91,Llama,R9,0,0,0
91,Llama,R8,0,0,0
92,GPT35,R7,5,5,5
92,GPT35,R9,5,5,5
92,GPT35,R8,5,4,4
92,GPT4,R7,5,5,5
92,GPT4,R9,5,5,5
92,GPT4,R8,5,4,4
92,Llama,R7,4,4,4
92,Llama,R9,5,2,2
92,Llama,R8,5,3,2
93,GPT35,R7,4,4,4
93,GPT35,R9,5,5,5
93,GPT35,R8,2,2,2
93,GPT4,R7,0,0,0
93,GPT4,R9,0,0,0
93,GPT4,R8,0,0,0
93,Llama,R7,5,5,5
93,Llama,R9,5,5,5
93,Llama,R8,5,5,5
94,GPT35,R7,0,0,0
94,GPT35,R9,0,0,0
94,GPT35,R8,0,0,0
94,GPT4,R7,3,3,3
94,GPT4,R9,5,4,4
94,GPT4,R8,5,4,4
94,Llama,R7,3,3,3
94,Llama,R9,5,4,4
94,Llama,R8,3,2,1
95,GPT35,R7,0,0,0
95,GPT35,R9,0,0,0
95,GPT35,R8,0,0,0
95,GPT4,R7,3,3,3
95,GPT4,R9,5,5,5
95,GPT4,R8,5,5,4
95,Llama,R7,3,3,3
95,Llama,R9,5,5,5
95,Llama,R8,3,2,1
96,GPT35,R7,0,0,0
96,GPT35,R9,0,0,0
96,GPT35,R8,0,0,0
96,GPT4,R7,3,3,3
96,GPT4,R9,5,4,2
96,GPT4,R8,5,4,3
96,Llama,R7,0,0,0
96,Llama,R9,0,0,0
96,Llama,R8,0,0,0
97,GPT35,R7,0,0,0
97,GPT35,R9,0,0,0
97,GPT35,R8,0,0,0
97,GPT4,R7,0,0,0
97,GPT4,R9,0,0,0
97,GPT4,R8,0,0,0
97,Llama,R7,3,3,3
97,Llama,R9,5,4,2
97,Llama,R8,4,3,3
98,GPT35,R7,0,0,0
98,GPT35,R9,0,0,0
98,GPT35,R8,0,0,0
98,GPT4,R7,5,5,5
98,GPT4,R9,5,5,5
98,GPT4,R8,5,5,5
98,Llama,R7,5,5,5
98,Llama,R9,5,5,2
98,Llama,R8,5,4,3
99,GPT35,R7,0,0,0
99,GPT35,R9,0,0,0
99,GPT35,R8,0,0,0
99,GPT4,R7,3,4,4
99,GPT4,R9,5,5,5
99,GPT4,R8,5,4,4
99,Llama,R7,3,4,4
99,Llama,R9,5,2,2
